Importing file: temp_Stock Trades.csv
Detected Stock Trades.csv format - Clearing existing trades
Columns: ['Assets', 'Date', 'Ticker', ' Price ', 'Number of stocks', ' Bought ', ' Bought Amount ', 'Total number bought', 'Total Amount bought', 'Sold', 'Sold Amount', 'Total Sold number of stocks', 'Total sold amount', 'Average sell price', ' Average buy price ', ' Realized Profit ', ' Current Amount ']
Added Sell TSM 1.0
Added Sell COIN 1.0
Added Sell CRDO 35.0
Added Sell FNV 3.0
Added Buy FNV 8.0
Added Buy FNV 11.0
Added Buy FNV 8.0
Added Buy AIRS 160.0
Added Buy AIRS 170.0
Added Buy AIRS 190.0
Added Buy AIRS 30.0
Added Buy AIRS 90.0
Added Sell PAGS 30.0
Added Buy APLD 100.0
Added Sell IWM 1.0
Added Sell BILL 11.0
Added Sell KNTK 10.0
Added Buy PROP 50.0
Added Buy IRTC 8.0
Added Buy FLR 4.0
Added Sell BABA 4.0
Added Sell TM 4.0
Added Sell PYPL 5.0
Added Buy TALK 150.0
Added Sell NXT 15.0
Added Sell GEV 1.0
Added Buy CVRX 80.0
Added Buy CVRX 20.0
Added Buy CVRX 45.0
Added Sell BLBD 5.0
Added Buy LWLG 120.0
Added Buy MPC 6.0
Added Sell ON 82.0
Added Buy GM 10.0
Added Sell BILL 30.0
Added Sell PYPL 8.0
Added Buy NE 18.0
Added Buy ANGO 100.0
Added Sell APLD 50.0
Added Sell SMR 5.0
Added Sell CRDO 10.0
Added Sell CVRX 150.0
Added Sell IRTC 11.0
Added Sell ANGO 100.0
Added Sell VKTX 7.0
Added Sell STIM 400.0
Added Sell STIM 180.0
Added Sell RXRX 70.0
Added Sell ILMN 3.0
Added Sell TALK 150.0
Added Sell ATEC 78.0
Added Sell GRAL 15.0
Added Sell MDT 4.0
Added Sell GRAL 15.0
Added Sell QDEL 6.0
Added Sell DXCM 3.0
Added Sell BSX 5.0
Added Sell CVRX 75.0
Added Sell TKNO 190.0
Added Sell LAB 300.0
Added Sell CSTL 19.0
Added Sell BSX 5.0
Added Buy SGOV 80.0
Added Buy GM 10.0
Added Buy INTC 20.0
Added Sell AEHR 50.0
Added Sell AEHR 50.0
Added Buy ON 5.0
Added Buy RMBS 10.0
Added Buy CIEN 6.0
Added Sell BILL 15.0
Added Buy BILL 18.0
Added Buy BILL 3.0
Added Buy AR 40.0
Added Buy AR 40.0
Added Sell APLD 50.0
Added Sell IREN 48.0
Added Buy KMI 20.0
Added Sell PTON 60.0
Added Buy SNDX 20.0
Added Buy LHX 2.0
Added Buy EXE 4.0
Added Buy INTC 40.0
Added Sell SGOV 10.0
Added Sell SGOV 15.0
Added Buy TKNO 200.0
Added Buy CVRX 30.0
Added Buy FLR 10.0
Added Buy AMSC 150.0
Added Sell SGOV 20.0
Added Sell SGOV 5.0
Added Sell CRDO 35.0
Added Buy STIM 1000.0
Added Buy BITF 1000.0
Added Sell BITF 1000.0
Added Buy HUT 100.0
Added Buy HUT 80.0
Added Buy HUT 80.0
Added Buy HUT 20.0
Added Sell AEHR 50.0
Added Sell ON 5.0
Added Sell VISN 50.0
Added Sell WOLF 30.0
Added Buy LHX 2.0
Added Sell SGOV 5.0
Added Sell SGOV 15.0
Added Sell SGOV 10.0
Added Buy BIL 20.0
Added Sell RMBS 15.0
Added Sell RMBS 10.0
Added Buy SDIG 20.0
Added Sell BILL 15.0
Added Buy FLR 20.0
Added Buy POET 130.0
Added Buy OSCR 30.0
Added Buy DLO 48.0
Added Sell CCOI 5.0
Added Sell CALX 6.0
Added Buy LEU 5.0
Added Buy LEU 10.0
Added Buy OSCR 30.0
Added Buy NOTV 250.0
Added Buy CRL 5.0
Added Buy AVTR 50.0
Added Buy FTRE 50.0
Added Buy CVS 6.0
Added Buy HUT 70.0
Added Sell CRDO 15.0
Added Sell ASPI 80.0
Added Sell B 50.0
Added Buy PESI 100.0
Added Buy TKNO 130.0
Added Buy NOTV 275.0
Added Buy DXCM 14.0
Added Buy EXAS 20.0
Added Buy OSCR 60.0
Added Sell APP 1.0
Added Sell OSCR 60.0
Added Buy PGNY 32.0
Added Buy ALGN 2.0
Added Buy EXAS 10.0
Added Buy NU 45.0
Added Buy AGX 7.0
Added Buy BABA 5.0
Added Buy BABA 20.0
Added Sell KNTK 40.0
Added Sell FNV 15.0
Added Buy BIL 45.0
Added Sell BIL 11.0
Added Buy AMSC 60.0
Added Sell CRDO 20.0
Added Sell RIO 20.0
Added Buy LRCX 7.0
Added Buy ASML 1.0
Added Buy KLAC 1.0
Added Buy MTSI 3.0
Added Sell ALGM 25.0
Added Buy RPD 12.0
Added Sell INTC 71.0
Added Sell BIL 54.0
Added Buy BABA 53.0
Added Sell FLR 50.0
Added Sell MPC 9.0
Added Sell B 50.0
Added Buy ESOA 80.0
Added Sell LHX 4.0
Added Buy TKNO 100.0
Added Sell AR 40.0
Added Buy TSM 5.0
Added Buy AIRS 300.0
Added Sell CIEN 6.0
Added Buy AMSC 60.0
Added Buy FOA 14.0
Added Sell TSLA 3.0
Added Sell TM 2.0
Added Sell SDIG 20.0
Added Sell ENTG 8.0
Added Buy AR 40.0
Added Buy RRC 40.0
Added Buy AMSC 12.0
Added Buy AMSC 24.0
Added Buy AMSC 8.4
Added Sell NVDA 2.0
Added Buy GRAL 70.0
Added Buy SPRY 40.0
Added Sell PYPL 5.0
Added Buy QCOM 1.0
Added Sell PYPL 20.0
Added Buy CMTL 400.0
Added Buy SPIR 36.0
Added Buy CHWY 15.0
Added Buy PGNY 10.0
Added Buy ALAB 2.0
Added Buy GTLS 1.0
Added Buy LBRT 9.0
Added Buy CVS 10.0
Added Buy PBF 20.0
Added Buy FOA 20.0
Added Sell ASPI 80.0
Added Buy XYZ 1.0
Added Buy NXL 120.0
Added Buy PTLO 200.0
Added Buy ARQT 70.0
Added Buy PUMP 50.0
Added Buy LBRT 20.0
Added Buy SPIR 40.0
Added Buy CHWY 15.0
Added Buy MU 5.0
Added Buy GTLS 6.0
Added Buy XYZ 10.0
Added Buy U 20.0
Added Buy QCOM 7.0
Added Sell SOUN 20.0
Added Buy AMZN 2.0
Added Buy SEI 10.0
Added Sell AR 40.0
Added Buy FSLR 3.0
Added Buy ENPH 7.0
Added Buy NXT 12.0
Added Sell CSCO 10.0
Added Sell ALGN 2.0
